Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2024,2024-10-31,"4413,46",31,Octubre,10
2024,2024-10-30,"4367,39",30,Octubre,10
2024,2024-10-29,"4342,9",29,Octubre,10
2024,2024-10-28,"4316,73",28,Octubre,10
2024,2024-10-27,"4316,73",27,Octubre,10
2024,2024-10-26,"4316,73",26,Octubre,10
2024,2024-10-25,"4311,83",25,Octubre,10
2024,2024-10-24,"4293,91",24,Octubre,10
2024,2024-10-23,"4262,3",23,Octubre,10
2024,2024-10-22,"4286,96",22,Octubre,10
2024,2024-10-21,"4252,15",21,Octubre,10
2024,2024-10-20,"4252,15",20,Octubre,10
2024,2024-10-19,"4252,15",19,Octubre,10
2024,2024-10-18,"4263,17",18,Octubre,10
2024,2024-10-17,"4266,2",17,Octubre,10
2024,2024-10-16,"4244,84",16,Octubre,10
2024,2024-10-15,"4192,56",15,Octubre,10
2024,2024-10-14,"4192,56",14,Octubre,10
2024,2024-10-13,"4192,56",13,Octubre,10
2024,2024-10-12,"4192,56",12,Octubre,10
2024,2024-10-11,"4217,4",11,Octubre,10
2024,2024-10-10,"4233,17",10,Octubre,10
2024,2024-10-09,"4233,54",9,Octubre,10
2024,2024-10-08,"4194,97",8,Octubre,10
2024,2024-10-07,"4173,66",7,Octubre,10
2024,2024-10-06,"4173,66",6,Octubre,10
2024,2024-10-05,"4173,66",5,Octubre,10
2024,2024-10-04,"4197,73",4,Octubre,10
2024,2024-10-03,"4203,43",3,Octubre,10
2024,2024-10-02,"4224,21",2,Octubre,10
2024,2024-10-01,"4178,3",1,Octubre,10
2024,2024-09-30,"4164,21",30,Septiembre,9
2024,2024-09-29,"4164,21",29,Septiembre,9
2024,2024-09-28,"4164,21",28,Septiembre,9
2024,2024-09-27,"4188,11",27,Septiembre,9
2024,2024-09-26,"4192,74",26,Septiembre,9
2024,2024-09-25,"4139,43",25,Septiembre,9
2024,2024-09-24,"4155,31",24,Septiembre,9
2024,2024-09-23,"4156,89",23,Septiembre,9
2024,2024-09-22,"4156,89",22,Septiembre,9
2024,2024-09-21,"4156,89",21,Septiembre,9
2024,2024-09-20,"4175,1",20,Septiembre,9
